[2025-11-15 04:40:38] [INFO] discord.client: logging in using static token
[2025-11-15 04:40:39] [INFO] red: Loading packages...
[2025-11-15 04:40:39] [INFO] red: Loaded packages: audio
[2025-11-15 04:40:40] [INFO] discord.gateway: Shard ID 0 has connected to Gateway (Session ID: 2ae9bf5a57b3d5743d71c34126a876ee).
[2025-11-15 04:40:40] [INFO] red: Connected to Discord. Getting ready...
[2025-11-15 04:40:42] [INFO] red.Audio.manager: Managed Lavalink node startup command: /usr/bin/java -Djdk.tls.client.protocols=TLSv1.2 -Xms64M -Xmx15G -jar /redbot/data/cogs/Audio/Lavalink.jar
[2025-11-15 04:40:42] [INFO] red.Audio.manager: Managed Lavalink node started. PID: 68
[2025-11-15 04:40:42] [INFO] red.Audio.manager: Waiting for Managed Lavalink node to be ready
[2025-11-15 04:40:46] [INFO] red.Audio.manager: Managed Lavalink node is ready to receive requests.
[2025-11-15 04:40:46] [INFO] red.Audio.WS.LLNode: Lavalink WS connecting to ws://localhost:2333 with headers {'Authorization': 'youshallnotpass', 'User-Id': '1141573790715891783', 'Num-Shards': '1', 'Client-Name': 'Red-Lavalink/0.11.0', 'Resume-Key': 'Red-Core-Audio-1141573790715891783-BenAnnaBot'}
[2025-11-15 04:40:46] [INFO] red.Audio.WS.LLNode: Lavalink WS connected to ws://localhost:2333
[2025-11-15 07:45:38] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 11:07:10] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 13:27:21] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 14:03:55] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 14:19:59] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 15:23:28] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 17:14:25] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 17:58:38] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 20:20:02] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-15 23:19:27] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 02:54:10] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 04:53:28] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 08:31:46] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 12:02:14] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 12:46:06] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 13:09:45] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 16:11:23] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 17:45:48] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 20:08:52] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 21:31:33] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-16 23:08:26] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 01:15:58] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 04:48:41] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 06:29:24] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 09:14:54] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 10:19:04] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 11:53:45] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 14:07:16] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 14:18:39] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 15:20:25] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 16:44:57] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 17:32:37] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 19:46:47] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 20:18:56] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-17 20:56:25] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 00:36:34] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 00:43:23] [WARNING] red.cogs.Audio.cog.Events.lavalink: Audio detected multiple continuous errors during playback - terminating the player for guild: 1138199265630486648.
[2025-11-18 01:34:45] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 02:03:50] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 02:17:00] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 03:03:53] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 05:57:44] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 09:52:22] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 12:20:54] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 13:27:58] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 14:29:59] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 16:37:42] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 16:40:44] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 18:50:57] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 21:12:31] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-18 21:47:29] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 00:05:18] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 02:11:46] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 03:39:46] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 05:34:15] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 09:06:38] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 12:03:24] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 14:02:52] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 16:27:18] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 16:42:42] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 18:56:52] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 19:44:02] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-19 21:36:12] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 00:50:03] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 04:34:29] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 05:12:44] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 06:31:46] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 07:16:30] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 08:25:15] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 10:55:08] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 11:03:23] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 11:29:35] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 12:43:57] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 14:59:46] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 15:19:01] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 16:41:37] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 17:11:51] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 17:54:54] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 19:43:44] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 20:43:33] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 20:50:11] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-20 23:51:58] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 03:07:44] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 05:18:53] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 07:34:47] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 08:39:56] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 09:45:47] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 10:11:31] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 11:24:15] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 12:56:54] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 13:41:15] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 15:43:18] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 16:10:05] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 18:19:12] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 19:06:03] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 21:43:43] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 22:35:48] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-21 22:55:09] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 01:35:02] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 01:58:04] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 02:06:49] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 03:36:31] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 05:30:34] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 08:48:20] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 10:27:23] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 11:39:26] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 14:45:11] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 17:51:35] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 20:28:03] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 20:45:35] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 21:26:11] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 22:47:45] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
[2025-11-22 23:42:19] [INFO] discord.gateway: Shard ID 0 has successfully RESUMED session 2ae9bf5a57b3d5743d71c34126a876ee.
